firstAffiliation,nation,city_state,cleaned_city_state
"unidade de xenética, instituto de ciencias forenses, facultade de medicina, universidade de santiago de compostela, and genpob research group, instituto de investigación sanitaria, hospital clínico universitario de santiago, galicia, spain.",spain,,
"translational pediatrics and infectious diseases, hospital clínico universitario de santiago and genvip research group, instituto de investigación sanitaria, university of santiago de compostela, santiago de compostela, spain.",spain,,
"david tvildiani medical university, tbilisi, georgia.",georgia,,
"department of pathology, dalhousie university, halifax, nova scotia, canada.",canada,,
"department of ophthalmology, faculty of medical science, university of fukui, fukui, japan.",japan,,
"department of ophthalmology, university of tokyo, tokyo, japan.",japan,,
"tane memorial eye hospital, osaka, japan.",japan,,
"ohashi eye center, sapporo, japan.",japan,,
"department of ophthalmology, asahikawa medical university, asahikawa, japan.",japan,,
"department of medicine and engineering combined research institute, asahikawa medical university, asahikawa, japan.",japan,,
"ideta heisei retina consultants, kumamoto, japan.",japan,,
"crisma center, department of critical care medicine, university of pittsburgh school of medicine, pittsburgh, pennsylvania.",usa," Pittsburgh, Pennsylvania.","Pittsburgh, Pennsylvania."
"icahn school of medicine at mount sinai, james j. peters va medical center, new york, new york.",usa," new york, new york.","new york, new york."
"assistance publique-hôpitaux de paris, internal medicine department, ambroise paré university hospital, université versailles-saint quentin-en-yvelines, boulogne-billancourt, france.",france,,
"veterans affairs new york harbor healthcare system, new york university grossman school of medicine, new york, new york.",usa," new york, new york.","new york, new york."
"hôpital femme enfant adolescent, department of paediatrics and paediatric emergency, university hospital, nantes, france.",france,,
"assistance publique-hôpitaux de marseille, paediatric and congenital cardiology, timone hospital marseille, university hospital, marseille, france.",france,,
"assistance publique-hôpitaux de paris, paediatric emergency departement, louis mourier university hospital, colombes, france.",france,,
"children's hospital, university hospital of nancy, paediatric department, université de lorraine, vandoeuvre les nancy, france.",france,,
"assistance publique-hôpitaux de paris, paediatric intensive care unit, bicêtre university hospital, université de paris saclay, le kremlin-bicêtre, france.",france,,
"assistance publique-hôpitaux de paris, paediatric intensive care unit, armand trousseau university hospital, sorbonne université, paris, france.",france,,
"assistance publique-hôpitaux de paris, department of general paediatric, armand trousseau university hospital, sorbonne université, paris, france.",france,,
"centre hospitalier intercommunal, paediatric department, université paris est, imrb-grc gemini, créteil, france.",france,,
"hospices civils de lyon, paediatric intensive care unit, hopital femme, mère enfant, university of lyon, bron, france.",france,,
"santé publique france, agence nationale de santé publique, saint-maurice, france.",france,,
"center for community health and evaluation at kaiser permanente washington health research institute, seattle.",usa," seattle, wa

So the function would","seattle, wa"
"houston mobile stroke unit, memorial hermann hospital-texas medical center, houston.",usa," response: houston, tx.

","houston, tx."
"norwegian air ambulance foundation, oslo, norway.",norway,,
"johns hopkins university school of medicine, department of medicine, division of geriatric medicine & gerontology, baltimore, maryland.",usa," response: baltimore, maryland.","baltimore, maryland."
"centre for online health, centre for health services research, university of queensland, brisbane, queensland, australia.",australia,,
"institute for health system solutions and virtual care, women's college hospital, university of toronto, toronto, canada.",canada,,
"departments of pediatrics and microbiology and immunology, stanford university school of medicine, stanford, california.",usa," stanford, ca","stanford, ca"
"departments of pediatrics and obstetrics and gynecology, university of florida college of medicine, gainesville.",usa," gainesville, fl

So the function","gainesville, fl"
"cardiovascular medicine and geriatrics sections, department of internal medicine, wake forest school of medicine, winston-salem, north carolina.",usa," response: winston-salem, north car","winston-salem, north car"
"harvard kennedy school and harvard business school, cambridge, massachusetts.",usa," response: cambridge, massachusetts.","cambridge, massachusetts."
"hospital of the university of pennsylvania, leonard david institute of health economics, philadelphia.",usa," response: philadelphia, pa","philadelphia, pa"
"division of hospital medicine, university of california, san francisco.",usa," response: san francisco, ca","san francisco, ca"
"vanderbilt university school of medicine, department of health policy, nashville, tennessee.",usa," response: nashville, tennessee.","nashville, tennessee."
"department of obstetrics, gynecology, and reproductive sciences, uc san diego health, san diego, california.",usa," response: san diego, ca","san diego, ca"
"lifespan corporation, providence, rhode island.",usa," Providence, rhode island.","Providence, rhode island."
"department of neurology, mayo clinic, scottsdale, arizona.",usa," response: scottsdale, arizona.","scottsdale, arizona."
"centre de recherche du centre hospitalier universitaire de sherbrooke, sherbrooke, quebec, canada.",canada,,
"clinical trials ontario, toronto, ontario, canada.",canada,,
"department of internal medicine, hirata central hospital, fukushima, japan.",japan,,
"takeda general hospital, fukushima, japan.",japan,,
"kyoto university school of public health, kyoto, japan.",japan,,
"department of respiratory sciences, university of leicester, leicester, united kingdom.",uk (united kingdom),,
"chinese clinical trial registry, sichuan university, chengdu, china.",china,,
"oxford clinical trials research unit, centre for statistics in medicine, university of oxford, oxford, england.",uk (united kingdom),,
"tufts center for the study of drug development, boston, massachusetts.",usa," Boston, Massachusetts.","Boston, Massachusetts."
"centers for disease control and prevention, division of diabetes translation, national center for chronic disease prevention and health promotion, atlanta, georgia.",usa," atlanta, georgia.","atlanta, georgia."
